emp_length,homeownership,annual_income,verified_income,debt_to_income,credit_checks,total_credit_limit,total_credit_utilized,public_record_bankrupt,loan_purpose,loan_amount,term,interest_rate,grade,issue_month
6,MORTGAGE,43000,Source Verified,13.23,0,30977,13474,0,debt_consolidation,16000,60,11.99,B,Jan-18
9,RENT,56891,Source Verified,11.29,0,26300,15727,0,debt_consolidation,6000,36,22.91,E,Jan-18
10,MORTGAGE,70000,Source Verified,25.6,4,271371,57434,0,debt_consolidation,18000,36,17.09,D,Jan-18
7,MORTGAGE,126049,Source Verified,18.11,3,561767,214234,0,vacation,7000,36,14.08,C,Jan-18
10,MORTGAGE,180000,Source Verified,5.21,2,441900,22621,0,debt_consolidation,35000,36,10.41,B,Feb-18
0,OWN,80000,Source Verified,23.47,1,101640,37959,0,debt_consolidation,19000,36,6.07,A,Mar-18
3,MORTGAGE,45000,Verified,8.83,5,162000,11879,0,debt_consolidation,16000,60,15.05,C,Jan-18
6,RENT,50000,Verified,30.51,2,53075,23612,0,other,15000,36,18.06,D,Jan-18
10,MORTGAGE,90000,Source Verified,16.77,0,334672,52278,0,debt_consolidation,6500,36,10.42,B,Feb-18
7,MORTGAGE,65000,Verified,19.15,1,311100,34963,0,credit_card,24000,60,13.59,C,Feb-18
2,RENT,135000,Not Verified,14.83,0,138727,67030,0,debt_consolidation,40000,36,5.32,A,Feb-18
0,RENT,32000,Verified,31.43,0,59897,27955,1,debt_consolidation,4000,36,6.72,A,Jan-18
10,RENT,47840,Not Verified,19.17,0,38796,14267,0,debt_consolidation,4500,36,10.42,B,Jan-18
2,OWN,55000,Source Verified,33.78,5,66641,45461,0,debt_consolidation,30000,60,19.03,D,Feb-18
10,RENT,65000,Source Verified,10.53,0,44900,24489,0,debt_consolidation,10000,36,9.43,B,Mar-18
10,RENT,37000,Not Verified,20.99,0,48918,11990,0,debt_consolidation,5000,36,7.34,A,Mar-18
NA,RENT,38000,Not Verified,20.4,2,152340,22087,0,debt_consolidation,10000,60,21.85,D,Feb-18
4,RENT,45000,Source Verified,20.25,6,89176,84804,0,other,5000,36,14.08,C,Jan-18
NA,OWN,29200,Not Verified,37.61,2,45829,21228,0,debt_consolidation,8200,36,20.39,D,Mar-18
9,MORTGAGE,86000,Verified,13.89,5,231279,32768,0,home_improvement,30000,60,14.08,C,Feb-18
2,RENT,49000,Not Verified,5.46,2,46000,7131,0,debt_consolidation,20000,36,7.96,A,Mar-18
6,OWN,42000,Source Verified,14,1,25800,13283,0,debt_consolidation,10400,60,15.04,C,Mar-18
10,MORTGAGE,120000,Not Verified,21.71,0,282138,77133,0,debt_consolidation,12150,60,15.04,C,Mar-18
3,MORTGAGE,60000,Not Verified,23.4,3,565013,52779,0,debt_consolidation,5000,36,6.72,A,Feb-18
10,MORTGAGE,110000,Source Verified,12.68,3,49288,46472,0,debt_consolidation,24000,36,10.42,B,Feb-18
10,MORTGAGE,60000,Source Verified,14.68,4,325149,20642,0,debt_consolidation,31000,60,12.62,C,Feb-18
0,MORTGAGE,40000,Source Verified,11.37,2,17647,9269,0,major_purchase,10000,36,18.06,D,Jan-18
5,RENT,56446,Not Verified,7.07,2,26470,8690,0,debt_consolidation,2400,36,7.34,A,Mar-18
5,MORTGAGE,90000,Verified,18.65,5,78733,51015,0,debt_consolidation,24000,60,21.45,D,Feb-18
0,RENT,100000,Source Verified,10.31,0,26600,25254,0,debt_consolidation,40000,60,12.61,C,Mar-18
10,RENT,52000,Not Verified,33.39,3,101344,44893,0,debt_consolidation,10000,36,9.92,B,Mar-18
10,MORTGAGE,60000,Not Verified,13.91,1,255304,31461,0,debt_consolidation,12600,36,5.32,A,Jan-18
4,OWN,52000,Verified,20.75,1,37311,25201,0,debt_consolidation,20000,60,19.03,D,Jan-18
10,MORTGAGE,32500,Not Verified,25.07,0,233229,7651,0,debt_consolidation,10000,60,10.42,B,Jan-18
7,MORTGAGE,80000,Not Verified,13.89,1,252881,55846,0,home_improvement,15000,60,9.93,B,Jan-18
NA,RENT,84396,Source Verified,17,1,69826,53235,1,debt_consolidation,28000,60,16.02,C,Feb-18
5,MORTGAGE,126000,Verified,8.43,1,1047519,17660,0,other,21275,60,16.02,C,Jan-18
0,RENT,40000,Source Verified,9.27,0,13200,6537,0,debt_consolidation,6800,36,18.06,D,Feb-18
NA,MORTGAGE,550000,Source Verified,7,2,967800,300222,0,home_improvement,40000,36,5.32,A,Jan-18
0,OWN,13200,Source Verified,31.73,0,48942,8390,0,other,5000,36,7.97,A,Feb-18
NA,MORTGAGE,52464,Not Verified,36.53,1,221875,58007,0,debt_consolidation,20000,60,21.45,D,Jan-18
1,RENT,47600,Not Verified,4.55,4,41200,8191,0,debt_consolidation,7500,36,6.71,A,Mar-18
10,RENT,27000,Not Verified,7.96,0,5600,3967,0,debt_consolidation,5000,36,16.01,C,Mar-18
10,OWN,80000,Source Verified,20.4,0,114662,89544,0,home_improvement,3000,36,13.59,C,Feb-18
10,OWN,180000,Verified,6.59,0,62394,41268,0,medical,3200,36,6.08,A,Feb-18
10,RENT,42733,Verified,28.56,1,52908,27088,0,credit_card,25000,36,10.9,B,Mar-18
NA,RENT,26000,Verified,21.14,4,20700,5627,0,other,1500,36,13.59,C,Jan-18
10,RENT,100000,Not Verified,11.21,0,81928,53085,0,credit_card,10000,36,11.98,B,Mar-18
6,MORTGAGE,70000,Source Verified,17.47,1,267372,29347,0,debt_consolidation,30000,60,11.98,B,Mar-18
10,MORTGAGE,106000,Source Verified,7.02,1,588312,53230,0,debt_consolidation,21000,60,10.9,B,Mar-18
10,OWN,120000,Not Verified,17.23,0,162525,39201,0,home_improvement,10000,36,5.32,A,Jan-18
1,RENT,50000,Source Verified,7.06,1,10300,8310,0,other,32000,60,18.45,D,Mar-18
4,MORTGAGE,60000,Source Verified,30.6,3,205134,35136,0,credit_card,16000,36,16.02,C,Feb-18
7,OWN,60000,Source Verified,23.38,1,85131,42463,0,debt_consolidation,18000,36,19.03,D,Feb-18
4,RENT,39000,Source Verified,22.37,1,66000,14706,0,debt_consolidation,12000,36,13.59,C,Jan-18
3,RENT,75000,Not Verified,5.04,1,95500,6084,0,car,3500,36,5.31,A,Mar-18
10,RENT,39000,Not Verified,2.43,0,2534,1026,0,other,3000,36,11.98,B,Mar-18
10,RENT,38000,Source Verified,29.97,5,31725,11423,0,vacation,5000,36,18.45,D,Mar-18
10,MORTGAGE,55000,Source Verified,28.91,4,194465,16535,0,debt_consolidation,10000,36,16.02,C,Jan-18
2,RENT,195000,Source Verified,4.57,1,47772,45325,0,debt_consolidation,32000,60,12.62,C,Feb-18
10,MORTGAGE,160000,Not Verified,6.03,5,674708,31273,0,debt_consolidation,20000,60,9.93,B,Jan-18
7,RENT,780000,Source Verified,3.1,3,137675,82432,0,debt_consolidation,12000,36,10.91,B,Jan-18
10,RENT,107000,Source Verified,15.88,4,345588,141401,0,credit_card,6000,36,10.91,B,Jan-18
NA,RENT,22848,Verified,16.86,2,37200,9006,1,debt_consolidation,9500,36,7.35,A,Jan-18
9,RENT,30000,Verified,13.81,1,18900,10513,0,other,15000,36,11.99,B,Jan-18
8,MORTGAGE,102000,Source Verified,3.49,2,130892,13278,0,major_purchase,20000,60,25.82,E,Jan-18
4,OWN,159000,Not Verified,13.14,1,366595,60740,0,credit_card,9600,36,7.97,A,Feb-18
3,MORTGAGE,34000,Not Verified,19.67,2,194925,18515,0,home_improvement,10000,36,14.08,C,Jan-18
2,RENT,112914,Not Verified,18.6,0,247132,209838,0,debt_consolidation,20000,60,9.44,B,Feb-18
10,RENT,27500,Source Verified,13.66,0,20400,6396,0,credit_card,6000,36,15.05,C,Jan-18
9,RENT,44000,Source Verified,29.27,0,64675,30023,0,debt_consolidation,18000,36,13.59,C,Jan-18
10,MORTGAGE,150000,Source Verified,19.77,11,625020,85097,0,credit_card,40000,60,11.98,B,Mar-18
1,RENT,95000,Verified,20.45,3,126903,72670,0,debt_consolidation,35000,60,13.58,C,Feb-18
4,RENT,45000,Not Verified,10.66,1,55100,15471,0,debt_consolidation,12000,36,6.72,A,Jan-18
8,RENT,175000,Verified,0.35,0,30300,796,0,major_purchase,15000,36,13.59,C,Jan-18
10,OWN,85000,Source Verified,19.24,6,353401,110936,0,debt_consolidation,35000,60,7.34,A,Mar-18
10,MORTGAGE,110000,Source Verified,7.38,0,309195,33258,0,debt_consolidation,24000,60,9.93,B,Jan-18
10,RENT,65000,Not Verified,16.06,0,54993,28926,0,debt_consolidation,16000,36,10.9,B,Feb-18
2,RENT,100000,Not Verified,16.26,0,112066,78250,0,credit_card,6000,36,10.41,B,Mar-18
10,MORTGAGE,100000,Not Verified,5.8,2,297600,15351,0,debt_consolidation,20000,36,6.08,A,Feb-18
1,RENT,110000,Verified,17.1,0,75321,50175,0,debt_consolidation,7200,36,14.07,C,Mar-18
10,MORTGAGE,212500,Source Verified,8.88,1,364781,101212,0,credit_card,20000,36,6.72,A,Feb-18
10,OWN,115000,Source Verified,17.64,5,471316,79729,1,debt_consolidation,25000,60,10.42,B,Jan-18
1,RENT,41000,Source Verified,21.49,4,34497,23886,0,other,3200,36,10.42,B,Feb-18
10,MORTGAGE,150000,Source Verified,17.11,11,753199,99680,0,debt_consolidation,16000,60,14.08,C,Jan-18
5,MORTGAGE,50000,Verified,5.23,2,289520,5990,0,debt_consolidation,15000,36,6.71,A,Mar-18
8,MORTGAGE,83000,Verified,12.29,7,268749,19669,1,debt_consolidation,10000,60,21.45,D,Jan-18
4,MORTGAGE,72000,Verified,46.57,5,224124,108228,0,debt_consolidation,20000,60,20,D,Feb-18
10,RENT,27000,Verified,27.2,1,41044,33056,0,vacation,5000,36,17.47,D,Mar-18
10,RENT,60000,Not Verified,18.32,0,91972,44270,0,debt_consolidation,7000,36,6.08,A,Feb-18
NA,RENT,38000,Not Verified,25.27,0,95646,26249,0,credit_card,7200,36,5.32,A,Feb-18
NA,RENT,57000,Not Verified,29.6,1,56800,40932,0,debt_consolidation,7000,36,19.03,D,Feb-18
10,MORTGAGE,258000,Verified,10.8,12,157247,99047,0,debt_consolidation,30000,36,17.09,D,Jan-18
8,MORTGAGE,72000,Source Verified,19.1,0,328143,50848,0,debt_consolidation,11000,60,10.42,B,Feb-18
10,MORTGAGE,85000,Not Verified,23.03,2,349945,44783,0,credit_card,15000,60,9.93,B,Mar-18
5,RENT,51000,Verified,24.38,2,72525,27422,0,debt_consolidation,18000,60,18.06,D,Jan-18
10,MORTGAGE,280000,Source Verified,0.06,1,316981,13,1,home_improvement,40000,36,10.91,B,Feb-18
5,MORTGAGE,325000,Source Verified,8.15,3,793009,100019,0,credit_card,35000,36,6.71,A,Mar-18
10,RENT,170000,Not Verified,4.77,0,70375,44157,0,major_purchase,40000,60,11.98,B,Mar-18
NA,MORTGAGE,32000,Verified,10.92,7,219900,12653,0,debt_consolidation,12000,36,11.99,B,Feb-18
10,OWN,90000,Not Verified,23.82,2,824084,54718,0,credit_card,25700,60,18.06,D,Jan-18
7,OWN,92000,Verified,26.53,3,130716,83110,1,debt_consolidation,19000,60,21.85,D,Mar-18
3,OWN,15000,Not Verified,50.32,1,38342,31082,1,debt_consolidation,30000,60,25.81,E,Mar-18
2,MORTGAGE,75000,Not Verified,28.26,0,267524,66983,0,debt_consolidation,20000,60,9.93,B,Jan-18
1,OWN,25500,Source Verified,33.6,0,29785,26923,0,credit_card,5000,36,10.9,B,Mar-18
5,RENT,60000,Source Verified,31.44,0,105964,40609,0,debt_consolidation,14000,36,5.32,A,Jan-18
10,MORTGAGE,100000,Not Verified,31.48,1,392251,96255,0,debt_consolidation,35000,36,24.85,E,Jan-18
10,MORTGAGE,67000,Not Verified,31.91,2,188660,57692,0,small_business,10000,60,20.39,D,Mar-18
1,RENT,115000,Source Verified,11.58,1,51218,30643,0,credit_card,10000,36,9.44,B,Jan-18
2,MORTGAGE,80000,Not Verified,9.6,1,293060,10662,1,credit_card,10000,36,7.34,A,Mar-18
3,OWN,82000,Not Verified,16.11,0,92719,31975,0,debt_consolidation,16000,36,7.96,A,Mar-18
10,RENT,81000,Verified,13.42,1,58900,34060,0,debt_consolidation,35000,60,19.42,D,Mar-18
10,MORTGAGE,150000,Source Verified,18.93,0,671278,361964,0,credit_card,20000,36,13.58,C,Mar-18
4,MORTGAGE,70000,Verified,32.68,1,361832,74999,0,credit_card,13000,36,6.07,A,Mar-18
2,MORTGAGE,144000,Not Verified,23.82,0,478340,182904,0,credit_card,25000,36,6.08,A,Jan-18
10,MORTGAGE,60000,Not Verified,42.86,1,553729,94029,0,debt_consolidation,16800,60,9.44,B,Jan-18
NA,MORTGAGE,45000,Not Verified,2.34,1,240827,1741,0,other,10000,36,6.08,A,Jan-18
2,MORTGAGE,55000,Source Verified,24.39,5,333278,52771,0,debt_consolidation,17000,36,6.72,A,Jan-18
10,RENT,111000,Not Verified,24.46,0,166350,70199,0,credit_card,25000,36,7.35,A,Feb-18
10,MORTGAGE,92000,Not Verified,26.73,1,230729,64214,0,debt_consolidation,15000,60,6.71,A,Mar-18
0,OWN,65000,Not Verified,6.89,1,19300,10394,0,debt_consolidation,35000,60,19.42,D,Mar-18
10,OWN,110000,Source Verified,31.07,0,194215,130457,0,home_improvement,30000,60,24.84,E,Mar-18
10,MORTGAGE,65000,Not Verified,13.53,0,299050,20428,0,debt_consolidation,3000,36,18.06,D,Jan-18
6,RENT,65000,Source Verified,27.58,1,81595,70626,0,car,6500,36,12.61,C,Mar-18
5,MORTGAGE,131000,Verified,18.96,0,233587,48112,0,moving,19000,36,14.08,C,Feb-18
10,RENT,45000,Verified,19.97,0,33900,19838,0,debt_consolidation,20000,36,10.42,B,Mar-18
2,RENT,39442,Not Verified,31.35,0,111664,80066,0,car,3000,36,9.92,B,Feb-18
10,RENT,50000,Source Verified,38.79,3,90151,48902,0,credit_card,5000,36,16.02,C,Mar-18
10,MORTGAGE,275000,Source Verified,12,5,610218,98337,0,credit_card,20000,36,6.07,A,Mar-18
3,MORTGAGE,45000,Not Verified,53.41,3,155574,114988,0,home_improvement,21700,36,18.06,D,Jan-18
8,MORTGAGE,40000,Verified,36.6,1,56670,28252,0,home_improvement,19675,60,24.84,E,Mar-18
10,MORTGAGE,95000,Not Verified,18.19,2,390506,58757,0,debt_consolidation,10000,36,7.34,A,Feb-18
7,MORTGAGE,82000,Verified,14.18,1,183221,40287,0,debt_consolidation,25000,60,19.03,D,Feb-18
NA,RENT,9000,Verified,18.86,1,9200,1607,0,other,5000,36,13.59,C,Jan-18
4,RENT,35000,Not Verified,12.83,1,108565,88269,1,home_improvement,15000,36,11.99,B,Feb-18
10,RENT,65000,Verified,25.87,4,172803,35901,0,major_purchase,12000,60,12.62,C,Jan-18
NA,MORTGAGE,28000,Not Verified,36.76,0,115900,69820,0,credit_card,10000,36,6.07,A,Mar-18
NA,MORTGAGE,22000,Verified,2.56,2,5700,98,0,home_improvement,2000,36,9.92,B,Mar-18
10,MORTGAGE,212000,Source Verified,11.96,1,376883,142365,0,debt_consolidation,25000,36,9.43,B,Feb-18
10,RENT,53000,Source Verified,24.64,2,96441,87309,0,vacation,2800,36,10.91,B,Jan-18
5,RENT,60000,Not Verified,27.42,0,101484,56091,0,debt_consolidation,17600,36,9.93,B,Feb-18
4,RENT,40000,Source Verified,8.79,5,25700,8425,0,other,6000,36,11.99,B,Jan-18
10,RENT,30000,Not Verified,14.6,1,28921,14469,1,debt_consolidation,5000,36,9.93,B,Jan-18
2,RENT,189000,Verified,13.26,1,144608,112820,1,credit_card,32000,60,15.05,C,Feb-18
10,MORTGAGE,80000,Not Verified,3.63,0,96700,7395,0,debt_consolidation,6000,36,6.08,A,Jan-18
10,MORTGAGE,50000,Source Verified,26.36,2,37046,25936,0,credit_card,5000,36,14.07,C,Mar-18
NA,MORTGAGE,54600,Verified,32.7,0,57461,35230,0,debt_consolidation,5600,36,14.08,C,Jan-18
10,RENT,55000,Not Verified,14.16,1,43467,15291,0,debt_consolidation,10000,36,7.35,A,Jan-18
10,RENT,80000,Not Verified,4.47,0,66900,4141,0,house,19200,36,6.08,A,Jan-18
4,OWN,125000,Source Verified,19.7,2,243676,73620,0,debt_consolidation,7000,36,16.02,C,Jan-18
NA,OWN,32000,Not Verified,19.39,2,74742,32760,0,credit_card,21700,36,9.43,B,Mar-18
2,RENT,34000,Not Verified,13.2,0,20577,18633,0,credit_card,1200,36,10.9,B,Mar-18
NA,OWN,80000,Source Verified,3.99,3,16800,5217,1,other,3200,36,10.91,B,Jan-18
10,MORTGAGE,175000,Source Verified,10.79,1,602937,94690,0,credit_card,35000,60,9.93,B,Jan-18
2,RENT,35000,Not Verified,1.92,0,12800,2103,1,credit_card,6500,36,7.96,A,Mar-18
10,MORTGAGE,62000,Source Verified,29.91,1,230366,49393,0,debt_consolidation,15000,36,10.9,B,Mar-18
8,RENT,70000,Source Verified,11.37,0,105179,28786,0,medical,3000,36,12.62,C,Jan-18
10,RENT,69000,Not Verified,27.43,2,77525,49053,0,debt_consolidation,11000,36,12.62,C,Jan-18
10,MORTGAGE,120000,Verified,9.25,0,41312,26423,0,debt_consolidation,20000,60,17.47,D,Mar-18
1,MORTGAGE,31680,Verified,18.68,3,188027,30935,0,credit_card,6600,36,19.03,D,Feb-18
1,RENT,80000,Source Verified,7.25,0,32300,18872,0,other,18000,60,14.08,C,Feb-18
10,RENT,132000,Source Verified,0.31,0,34200,3059,0,other,40000,36,6.72,A,Feb-18
10,RENT,33000,Verified,29.89,3,40944,17189,1,debt_consolidation,11200,36,9.93,B,Jan-18
4,MORTGAGE,43260,Not Verified,4.83,2,166100,5662,0,credit_card,10000,36,6.08,A,Feb-18
10,MORTGAGE,400000,Verified,12.7,0,233712,119392,0,home_improvement,30675,36,5.32,A,Jan-18
10,RENT,95000,Not Verified,14.24,1,91850,32813,0,debt_consolidation,30000,60,9.43,B,Mar-18
2,OWN,75000,Not Verified,36.96,0,180063,87133,0,debt_consolidation,18000,36,11.99,B,Feb-18
8,MORTGAGE,136000,Verified,11.33,3,321476,79454,0,credit_card,10000,36,13.58,C,Mar-18
7,MORTGAGE,57000,Source Verified,11.56,1,63047,19915,0,debt_consolidation,5600,36,11.99,B,Jan-18
5,RENT,35600,Verified,25.4,1,105944,26661,0,debt_consolidation,3500,36,6.72,A,Mar-18
10,MORTGAGE,194000,Source Verified,15.07,2,109700,82404,1,home_improvement,24000,36,11.99,B,Jan-18
4,RENT,60000,Not Verified,10.38,2,53994,23422,0,debt_consolidation,3000,36,9.43,B,Feb-18
9,MORTGAGE,65000,Source Verified,23.43,0,424687,76949,0,debt_consolidation,14000,36,5.31,A,Mar-18
0,RENT,12000,Verified,5.2,0,13931,9664,0,credit_card,10000,36,13.59,C,Jan-18
4,MORTGAGE,45000,Source Verified,31.42,1,260116,98408,0,debt_consolidation,16200,36,10.42,B,Jan-18
3,RENT,32000,Source Verified,18.9,0,40375,16542,0,debt_consolidation,5000,36,18.45,D,Mar-18
10,MORTGAGE,260000,Source Verified,7.85,1,231949,56102,0,debt_consolidation,32000,36,6.72,A,Jan-18
2,MORTGAGE,12000,Not Verified,170.4,1,225951,59098,0,credit_card,40000,60,15.04,C,Mar-18
3,MORTGAGE,125000,Source Verified,23.91,1,446748,99660,0,debt_consolidation,12000,36,14.07,C,Mar-18
2,RENT,22000,Verified,24.22,2,24200,12110,0,credit_card,10000,36,22.91,E,Jan-18
4,MORTGAGE,102000,Source Verified,21.59,5,394039,102500,1,other,10000,36,16.02,C,Feb-18
10,MORTGAGE,150000,Verified,35,0,381206,183352,0,debt_consolidation,35000,36,16.01,C,Mar-18
2,MORTGAGE,31500,Not Verified,16.61,0,114600,18591,0,credit_card,18000,36,6.72,A,Feb-18
4,OWN,100000,Source Verified,21.42,2,352923,51956,1,credit_card,12000,36,10.9,B,Feb-18
10,RENT,109000,Not Verified,7.14,1,38818,25345,0,debt_consolidation,14000,36,10.42,B,Feb-18
NA,RENT,48000,Not Verified,34.63,0,81533,17202,0,debt_consolidation,11000,60,11.99,B,Jan-18
10,MORTGAGE,97600,Source Verified,27.13,0,521715,118907,0,debt_consolidation,40000,60,14.08,C,Jan-18
10,MORTGAGE,125000,Not Verified,27.94,2,235882,114633,0,debt_consolidation,24000,36,12.62,C,Jan-18
3,MORTGAGE,100000,Source Verified,21.4,2,346476,146318,0,small_business,35000,36,13.59,C,Feb-18
4,RENT,90000,Verified,27.72,4,103057,75185,0,debt_consolidation,24000,36,17.09,D,Feb-18
1,OWN,35000,Source Verified,40.02,1,86985,33368,0,debt_consolidation,30000,60,11.99,B,Feb-18
5,MORTGAGE,35000,Source Verified,31.68,0,53185,39079,0,major_purchase,7000,36,18.45,D,Mar-18
10,RENT,98281,Not Verified,13.1,2,72100,39156,0,debt_consolidation,6000,36,9.92,B,Mar-18
10,RENT,73000,Verified,30.94,10,119382,60838,0,debt_consolidation,12800,60,26.77,E,Feb-18
10,MORTGAGE,150000,Verified,34.39,2,581926,161803,0,debt_consolidation,40000,36,6.72,A,Jan-18
1,MORTGAGE,41600,Source Verified,27.64,2,216727,36091,0,debt_consolidation,12400,60,16.01,C,Mar-18
8,MORTGAGE,85000,Verified,10.73,0,359137,34431,0,other,20000,36,5.31,A,Mar-18
7,MORTGAGE,45000,Source Verified,62.7,0,252001,197102,0,debt_consolidation,36250,36,19.42,D,Mar-18
7,OWN,42000,Not Verified,28.95,0,46153,26030,0,credit_card,9600,36,17.47,D,Mar-18
10,MORTGAGE,34000,Not Verified,40.52,3,379558,46372,0,home_improvement,5000,36,11.99,B,Jan-18
10,RENT,40000,Verified,23.4,1,38532,21137,1,credit_card,2200,36,13.59,C,Jan-18
9,MORTGAGE,110000,Not Verified,19.32,1,326649,40522,0,debt_consolidation,25000,36,6.71,A,Mar-18
10,RENT,65500,Source Verified,24.55,1,56900,40017,0,debt_consolidation,28000,36,16.02,C,Feb-18
2,MORTGAGE,166600,Source Verified,21.26,2,842451,177958,0,credit_card,40000,36,6.07,A,Mar-18
1,MORTGAGE,109000,Source Verified,2.85,6,340590,9185,0,home_improvement,15000,60,17.47,D,Mar-18
5,MORTGAGE,90000,Source Verified,12.13,3,482168,19998,0,debt_consolidation,15000,60,23.88,E,Feb-18
0,RENT,35000,Source Verified,19.38,1,26700,11720,0,debt_consolidation,5000,36,15.04,C,Mar-18
1,MORTGAGE,48000,Source Verified,35.1,0,259835,37303,1,credit_card,32000,60,11.98,B,Mar-18
NA,MORTGAGE,43000,Verified,16.86,3,147834,15544,0,debt_consolidation,24000,36,16.01,C,Mar-18
10,OWN,80000,Source Verified,4.02,0,76300,16546,0,major_purchase,24000,36,7.35,A,Feb-18
4,MORTGAGE,60000,Not Verified,26.58,0,115798,42049,1,debt_consolidation,11000,36,7.96,A,Mar-18
7,MORTGAGE,112000,Not Verified,26.4,2,178249,105156,0,debt_consolidation,35000,60,13.58,C,Mar-18
3,RENT,50000,Not Verified,23.36,1,58246,33583,0,debt_consolidation,15000,60,11.99,B,Jan-18
10,RENT,20000,Not Verified,37.64,1,14487,7985,0,other,16000,36,20,D,Feb-18
7,RENT,20567,Source Verified,6.71,0,4700,2462,0,debt_consolidation,4925,36,13.58,C,Feb-18
1,RENT,26127,Not Verified,14.97,0,17519,5635,0,debt_consolidation,10000,36,7.35,A,Jan-18
10,RENT,260000,Source Verified,8.46,9,95855,73309,0,debt_consolidation,16000,36,7.97,A,Jan-18
10,MORTGAGE,80000,Verified,25.59,0,462906,50095,0,debt_consolidation,30000,60,16.02,C,Jan-18
7,OWN,57820,Verified,27.63,6,98277,90728,0,credit_card,20000,60,19.42,D,Mar-18
10,MORTGAGE,67000,Source Verified,25.54,0,200934,57581,0,debt_consolidation,30000,60,9.93,B,Feb-18
2,RENT,49000,Not Verified,10.02,0,21554,13020,0,debt_consolidation,5500,36,12.61,C,Mar-18
3,RENT,72000,Not Verified,15.21,0,52284,30987,0,debt_consolidation,9000,36,7.35,A,Feb-18
2,MORTGAGE,120000,Source Verified,5.15,1,77000,13156,1,debt_consolidation,18000,36,6.71,A,Mar-18
3,RENT,300000,Source Verified,3.78,0,56696,37087,0,other,10000,36,14.08,C,Jan-18
5,MORTGAGE,45000,Not Verified,38.16,3,120552,59224,0,credit_card,18000,60,10.41,B,Mar-18
7,RENT,80000,Not Verified,10.85,1,37900,24500,1,medical,10000,60,19.42,D,Mar-18
4,MORTGAGE,55000,Source Verified,13,4,216323,27587,0,other,2000,36,5.31,A,Mar-18
8,MORTGAGE,48500,Source Verified,20.61,6,482769,22175,1,debt_consolidation,19225,60,18.06,D,Jan-18
4,MORTGAGE,111996,Not Verified,15.31,1,293091,46479,0,debt_consolidation,30000,60,11.99,B,Feb-18
4,RENT,50000,Verified,35.09,7,144447,63932,1,credit_card,4000,36,14.08,C,Feb-18
10,MORTGAGE,85000,Verified,16.12,5,229737,16229,0,debt_consolidation,20000,60,15.05,C,Jan-18
3,RENT,65000,Source Verified,4.27,0,17200,11678,0,debt_consolidation,9600,36,14.07,C,Feb-18
9,RENT,79000,Not Verified,19.92,0,141000,35362,0,credit_card,40000,36,7.35,A,Jan-18
NA,MORTGAGE,56000,Verified,14.51,3,337700,19342,0,debt_consolidation,12000,60,17.47,D,Mar-18
10,MORTGAGE,350000,Verified,7.65,3,517736,103057,0,debt_consolidation,34975,60,21.85,D,Mar-18
0,MORTGAGE,25000,Source Verified,3.53,6,9500,229,0,debt_consolidation,15000,60,16.01,C,Mar-18
5,MORTGAGE,40000,Source Verified,11.55,7,22124,13802,0,credit_card,8000,36,13.59,C,Jan-18
1,RENT,110000,Verified,23.45,0,99242,89497,0,credit_card,40000,36,11.99,B,Jan-18
10,MORTGAGE,75000,Not Verified,19.63,7,184300,46323,0,debt_consolidation,13000,60,12.62,C,Jan-18
6,MORTGAGE,55000,Verified,17.96,3,129883,44120,0,debt_consolidation,10000,36,10.9,B,Feb-18
2,RENT,375000,Not Verified,7.04,0,115778,84991,0,small_business,40000,36,9.44,B,Jan-18
0,OWN,107000,Not Verified,25.52,1,336740,118767,0,car,4000,36,10.41,B,Mar-18
NA,RENT,252000,Source Verified,2.25,0,103400,16635,0,credit_card,10000,36,6.72,A,Feb-18
2,RENT,25000,Not Verified,18.24,1,30653,13012,0,debt_consolidation,10000,60,17.09,D,Feb-18
0,RENT,25000,Not Verified,16.23,3,20800,9963,0,credit_card,4000,36,14.08,C,Jan-18
2,MORTGAGE,110000,Not Verified,10.28,6,388138,36328,0,debt_consolidation,30000,60,16.01,C,Mar-18
NA,MORTGAGE,40000,Verified,18.74,1,243700,12519,0,major_purchase,28800,36,5.32,A,Feb-18
2,RENT,79500,Not Verified,17.8,1,155991,115711,0,debt_consolidation,12000,36,6.72,A,Feb-18
4,RENT,35000,Verified,28.26,1,76924,47557,0,credit_card,11000,36,7.34,A,Mar-18
10,MORTGAGE,190000,Not Verified,5.29,1,558553,46834,0,credit_card,6000,36,7.34,A,Mar-18
7,RENT,63000,Source Verified,20.55,4,28901,22100,0,credit_card,14000,60,20.39,D,Mar-18
9,MORTGAGE,55000,Verified,1.88,1,160118,12958,0,house,20000,60,14.07,C,Mar-18
1,MORTGAGE,54000,Not Verified,22.62,1,90276,58883,0,credit_card,11200,60,15.04,C,Mar-18
7,MORTGAGE,100000,Not Verified,16.15,3,229942,45969,0,other,20000,36,6.07,A,Feb-18
2,MORTGAGE,110000,Source Verified,0.6,0,4500,1746,0,other,15000,36,13.59,C,Jan-18
0,RENT,78000,Not Verified,16.91,2,66317,25927,0,car,26000,60,14.08,C,Feb-18
3,RENT,31200,Source Verified,28,2,23639,17672,0,debt_consolidation,7800,36,11.99,B,Jan-18
10,RENT,51000,Verified,4.35,0,5700,4239,0,debt_consolidation,30000,36,13.58,C,Mar-18
10,RENT,40000,Source Verified,21.54,1,41700,20143,0,credit_card,10000,36,9.93,B,Jan-18
